[000:00:00;567] >>
[000:30:09;307] ON THE FIELD WHILE THE ANSWER
[000:30:11;509] ANTHEM PLAYED.
[000:30:12;510] THIS WAS IN RESPONSE TO
[000:30:13;711] PRESIDENT TRUMP CALLING THE
[000:30:15;713] PLAYERS WHO PROTEST SOB'S DURING
[000:30:18;449] THE RALLY IN ALABAMA.
[000:30:19;684] AND REACTION HAS BEEN SWIFT FROM
[000:30:21;853] NFL PLAYERS INCLUDING SAN
[000:30:25;456] MATTEO'S OWN T>> IOM CERTAINLY
[000:30:28;593] WHAT HE SAID AND THOUGHT IT WAS
[000:30:31;529] DWOOIF.
[000:30:31;796] >> NO NFL PLAYER COACH OR OWNER
[000:30:34;566] HAS COME OUT IN AGREEMENT WITH
[000:30:36;434] THE PRESIDENT WHO BELIEVES THE
[000:30:37;635] PROTESTERS ARE DISRESPECTING THE
[000:30:39;170] FLAG AND BY EXTENSION, THE
[000:30:40;972] COUNTRY.
[000:30:41;472] >> THE PRESIDENT'S LATEST TWEET
[000:30:43;007] ON THE MATTER REEDS, TREMENDOUS
[000:30:46;177] BACKLASH AGAINST THE NFL AND ITS
[000:30:47;779] PLAYERS FOR DISRESPECT OF OUR
[000:30:50;248] COUNTRY.
[000:30:50;481] >> ALISA HAIRING TON BLINKS THE
[000:30:54;319] LIVE COVERAGE IN ALAMEDA WHO
[000:30:57;355] LOOKS AT SOME PEOPLE WHO ARE
